Accession #,Panel #,Title,Description,"PUBLICATION
Info as of April 15, 2025",page number
245,2,Аскольд і Дир їдуть Дніпром попри Київ,Illustrated by Mykhailo Fartukh.    ,"Історія України для дітей 
History of Ukraine for children of School Age
(1966)",9; cover
270,2,"Тарас Бульба
Taras Bul'ba Scene", Scene from the story,"Тарас Бульба: історична повість
Николай Васильевич Гоголь, Тризуб, 1964
Taras Bul'ba: A Historic Narrative 
Nicholai Hohol, Tryzub Press, 1964",52
299,2,"Child Speaking to Small, Tailed Creature",Illustration - Artist Unknown,Publlication Unknown,
342,2,Parade Float,Ukrainian entry into a summer parade,Publlication Unknown,
395,2,Church with a Picket Fence,Unidentified,Publlication Unknown,
420,2,"Шустик Россел Весілля
Barbara Shustyk & Gary Russell",Wedding Photo,Publlication Unknown,
466,2,"Олена Томюк
Olena Tomiuk",,Publlication Unknown,
489,2,"Рокселянна Цьокан
Roxylana Sochan ","Graduation Photo 
B.A. Bachelor of Arts",Publlication Unknown,
513,2,"Марія Серединська
Mary Seredinsky",,Publlication Unknown,
556,2,"Михайло Романишин
Michael Romanyshyn",,Publlication Unknown,
558,2,"Пан Свора
Mr. Svora",,Publlication Unknown,
560,not 2,"Іван Равлюк
Ivan (John) Rawliuk ",,Publlication Unknown,
566,2,"П. Мочульський 
P. Mochulsky",,Publlication Unknown,
570,2,"Марія Будник
Mary Budnyk",,Publlication Unknown,
616,2,"І. Палько
Mr. I. Palko",,Publlication Unknown,
738,2,"Дмитро Іванина
Dmytro Iwanyna","Winnipeg, MB",Publlication Unknown,
741,2,"[Пані] Світуха
Mrs. Svitucha ",,Publlication Unknown,
745,2,Portrait of a Woman,Unidentified,Publlication Unknown,
747,2,"М. Шевчук
M. Shewchuk",,Publlication Unknown,
784,2,Mr. Holinsky,,Publlication Unknown,
798,2,"Валентина Переяславець
Valentyna Pereyaslavets",In the garden of her home (Yew York).,"Українська жінка в хореографії - Пастернакова, Марія. 
Ukrainian Woman in Choreography by Maria Pasternakova
1963",108
807,2,"I. Kраєннко
I. Krayenko",,Publlication Unknown,
828,2,"Анастасія Кодещук
Anastasia Kodashchuk ",,Publlication Unknown,
848,2,"Марія Сулима
Mary Sulyma",Graduation Photo,Publlication Unknown,
850,2,Embroidered Dressing Gown,Unidentified Model ,Ukrainian Embroidery Designs and Stitches  (1957),129
873,2,"Д-р Наталя Апонюк
Dr. Natalia Aponiuk",,Publlication Unknown,
932,not 2,"Параска Гарасимів
Pearl (Paraska) Harasymiw  ",,Publlication Unknown,
974,2,"Василь Фастриґа
Wasyl Fastryga",,Publlication Unknown,
989,2,"Отець і Добр. Глуханюк
Reveverend & Dobrodika Hluhaniuk",,Publlication Unknown,
998,2,"Михайло і Марта Демчук
Michael & Martha Demchuk",,Publlication Unknown,
1002,2,"Никола і Меланія Гуцгляк
Nicholas & Melania Husulak",,Publlication Unknown,
1005,2,Петро і Катарина Сарабун Тандер Бей фундатор,"Peter and Kataryna Sarabun
Thunder Bay, ON
 (Founders) 
 $1,125.00",Publlication Unknown,
1073,2,"РОБЕРТ АЛЬБЕРТОВИЧ КЛЯВИН 
[РОБЕРТ ВИЗИРЕНКО]
Robert Albertovych Klavyn [Robert Vizarenko]","Performing the lead role in the 1958  version of the ballet ""Lilea"" choreographed by Constantine Dankevych, based on the works of Taras Shevchenko. Kyiv, Ukraine.","Українська жінка в хореографії - Пастернакова, Марія. (1963)
Ukrainian Woman in Choreography (1963) by Maria Pasternakova",
1102,2,"Марія Яримович
Maria Yaremowych", ,Publlication Unknown,
1109,2,Ms. H. Riff,,Publlication Unknown,
1138,2,"""Canadian Tapestry""
Cover  ",Block 1 of 2. Green Background plate ,"Canadian Tapestry
Poems by Doris Elizabeth Yanda
1970",Cover (green plate)
1172,2,Illustration of Plants,Illustration  by Stepan Rozhoka,"Далеке зблизька - Марія Струтинська/В. Марска/Степан Рожока     
The Distant at Hand - Maria StrutynskaW. Marska/Stepan Rozhoka",
1180,2,British Royal Family,"Official Photograph
c. 1953",Publlication Unknown,
1229,2,"Малаховський
Malahowsky",,Publlication Unknown,
1267,2,UWAC Group Photo,"Branch in the name of Lesia Ukrainka. Ituna, SK
1951 ",Twenty Five Years of UWAC 1926-1951,482
1271,2,UWAC - Group Photo," St. Ilias Church. Rosburn, Manitoba. 
1952",Twenty Five Years of UWAC 1926-1951,320
1279,2,UWAC - Group Photo,"Lesia, Ukrainka Branch
St. Julien,SK ",Twenty Five Years of UWAC 1926-1951,456
1281,2,UWAC - Group Photo,1951,Twenty Five Years of UWAC 1926-1951,470
1292,2,UWAC Group Photo,"O. Пчілки Емлшам, Саск.  
O. Pychilka Branch 
Aylsham, SK
1951",Twenty Five Years of UWAC 1926-1951,488
1336,2,"Меланія Доскоч
Melanie Doskoch"," Thunder Bay, ON
Donated (Patron) $5000.00 to the Shevchenko Foundation. ",Publlication Unknown,
1337,2,"Галя Остарчук 
Halya Ostarchuk",From Alberta,Publlication Unknown,
1342,2,"Бл. п. Дмитро Стручинський
In Memory of Dmetro Struchynsky","Бл. п. Дмитро Стручинський Ванкувер БК (Фундатор) $1500.00 , Shevchenko Foundation 
Donation from Vancouver, BC, $1500.00 to the Shevchenko Foundations (Founder)",Publlication Unknown,
1353,2,"Марія Симчич
Mary Semchych",,Publlication Unknown,
1360,2,"Бл. п. Тома і Олена Кобзий
In Memory of Tom & Olena Kobzy ","Couple from Winnipeg, MB who donated $5315.00 to KYK/UCC (Patrons)",Publlication Unknown,
1367,2,"Анна і Володимир Кройсавноцькі
Anna & Volodymyr Kroysanowski  ",,Publlication Unknown,
1401,2,Ferry in the Water,,Publlication Unknown,
1407,2,Docked Steamboat,,Publlication Unknown,
1431,2,Graduating class of 1927-1928 ,"Peter Mohyla Ukrainian Institute, Saskatoon, SK.",Publlication Unknown,
1454,2,Group Photo  ," Mykhailo Hrushevsky Ukrainian Institute, Edmonton, AB",Publlication Unknown,
1613,2,CYMK Toronto,,Publlication Unknown,
1623,2,CYMK Edmonton,"Basket weaving workshop. L to R: Anna Melnychuk, Donna Seniw, Myroslawa Chomiak, unknown, Myron Karpiak, Helene Magus, Patricia Gordica",Publlication Unknown,
1781,2,Portrait of a Woman,Unidentified,Publlication Unknown,
1783,2,Miss Nasevych,,Publlication Unknown,
1787,2,"П-н Войзенко
Mr. Voisenko",,Publlication Unknown,
1807,2,"Мейор С. Дзюба 
Mayor Steven Juba  ","Проголошує Український Тиждень у Вінніпеґу, КУК
Declaration of Ukrainian Week in Winnipeg
1968",Publlication Unknown,
1858,2,"Церква в Сенді Лейк, Ман","
Ukrainian Church in Sandy Lake, MB",Publlication Unknown,
1861,2,Group Photo,Church and Congregation,Publlication Unknown,
1867,2,Alberta UOCC Convention, ,Publlication Unknown,
1888,2,Ukrainian Orthodox Church,"In the village of Kovbel, Ukraine.",Publlication Unknown,
1977,2,"Галина і Микола Мойсієвські
Halyna & Mykola Moisiyevski",,Publlication Unknown,
2005,2,"П-н Прихідко
Mr. Pryhidko"," From Thunder Bay, Founding Donor, $1000.00 to UCC",Publlication Unknown,
2068,2,Multi Generatinal Group Photo ,Unidentified,Publlication Unknown,
2069,2,Portrait of a Man,Unidentified,Publlication Unknown,
2089,2,Ukrainian Canadian Parade Float,Unidentified,Publlication Unknown,
2099,2,Group Photo  ,"Веґревил Алта До допису про свято Державности
Vegreville, AB Article about Ukrainian Independence Day
Outside Vegreville Civic Building",Publlication Unknown,
2151,2,Jesus in the Temple,"Painting by Heinrich Hoffman, 1881",Publlication Unknown,
2168,2,Dr. Wenger, ,Publlication Unknown,
2199,2,UWAC Redfield,"Branch in the name of Lesia Ukrainka, Redfield, SK.
1951",Twenty Five Years of UWAC 1926-1951,445
2283,2,Embroidery Pattern,With DMC Number Chart,Ukrainian Embroidery Designs and Stitches  (1957),97
2286,2,Embroidery Stitch Sample,Hardanger Stitch,Ukrainian Embroidery Designs and Stitches  (1957),43
2338,2,Crowded Street,Unidentified,Publlication Unknown,
2348,2,UWAC - Group Photo,"Branch in the name of O. Basaraba, Tarnopol, SK.",Twenty Five Years of UWAC 1926-1951,
2388,2,Graduate Portraits,"Mohyla Institure, Saskatoon, SK",Publlication Unknown,
2394,2,Group Photo,Unidentified,Publlication Unknown,
2450,2,People on a Small Stage Float,Unidentified,Publlication Unknown,
2555,2,Group Photo,Unidentified,Publlication Unknown,
2563,2,Group Photo," Flin Flon, MB",Publlication Unknown,
2566,2,Group Photo,Unidentified,Publlication Unknown,
2592,2,Three Women With Corsages,Unidentified,Publlication Unknown,
2626,2,UWAC Group Photo  ,"Gronlid, Saskatchewan
1951",Twenty Five Years of UWAC 1926-1951,
2631,2,Group Photo,Unidentified,Publlication Unknown,
2665,2,UWAC Group Photo,"Частина учесниць 26-ого Зїзду Союзу Українок Канади
Participants at the 26th annual conventionof UWAC",Publlication Unknown,
2714,2,Childrens Group Photo,Unidentified,Publlication Unknown,
2731,2,Group Photo of Women,Unidentified,Publlication Unknown,
2739,2,Group Photo,Unidentified,Publlication Unknown,
2750,2,Group Photo,Unidentified,Publlication Unknown,
2791,2,Group Photo,"Membership Tea Planning Committee, St. John's Cathedral, Edmonton",Promin May 1963,21
2822,2,Group Photo,Unidentified,Publlication Unknown,
2837,2,Group Photo,Unidentified,Publlication Unknown,
2851,2,Group Photo,Unidentified,Publlication Unknown,
2986,2,Portrait of a Couple,Unidentified,Publlication Unknown,
3021,2,Group Photo,In the first row: L. Ewasiuk and N. Bodnar. Second row: N. Seniw. Fourth row: O. Melnychuk.,Publlication Unknown,
3049,2,Fashion Illustration ,By Wadym Dobrolige,Promin June 1969,31
3053,2,Embroidery Pattern,,Promin November 1969,32
3063,2,Fashion Illustration ,Hutsul pattern from Kosmach.,Promin October 1966,31
3065,2,Embroidery Pattern,Submitted by Halyna Myhalchuk.,Promin February 1966,25
3084,2,Halyna Myhalchuk Modeling an Embroidered Dress,Modeling a contemporary embroidered dress.,Promin March 1965,31
3097,2,"""Carolers""",Painting by B. Zalutsky,Promin January 1964,21
3102,2,Embroidery Pattern,Submitted by Olha Semchuk.,Promin May 1964,32
3103,2,Group Photo,UWAC Alberta Provincial Executive - 30th Anniversary,Promin April 1963,18
3105,2,Promin Promotional Photo,,Promin March 1963,32
3115,2,Two Children Reading a Book,Graphic illustration for the Children's section.,Promin March 1962,19
3127,2,Embroidery Pattern,"""Nyzynka"" stitch.","Promin August-September, 1961",32
3134,2,Portrait of Taras Shevchenko,"Celebrating the unveiling of the Shevchenko monument in Winnipeg. 8-9 July, 1961.
Artist Unknown.",Promin July 1961,cover
3144,2,Embroidery Pattern,"Rose pattern from Drohobach near Lviv, Ukraine.",Promin July 1977,31
3152,2,Embroidery Pattern,From the village of Spasiv in the Volyn region.,Promin December 1979,32
3163,2,Embroidered Table Cloth,Submitted by Sophia Senyshyn.,Promin February 1961,inside back cover
3173,2,Raisa Hylko,"Ballerina from Kyiv, Ukraine.",Promin December 1973,11
3221,2, Embroidery Pattern,"Grape leaf pattern from Drohobych, Ukraine.",Promin January 1975,32
3236,2, Embroidery Pattern,From the Olena Pchilka Collection. Drawn by Ivanna Wachna.,Promin October 1982,32
3252,2,Embroidery Pattern,,Promin,
3253,2,Embroidery Pattern,,Promin,
3269,2,Group Photo at the Table,Unidentified,Publlication Unknown,
3315,2,Three Babas Seated,Unidentified,Promin,
3416,2,Group Photo,"Літні курси Українознавство при Іституті Св. Івана в Едмонтоні
Summer Ukrainian Language Class, St. John's Institue, Edmonton, AB",Publlication Unknown,
3435,2,"""Quebec"" ",Page Header for Quebec section.,Twenty Five Years of UWAC 1926-1951,388
3436,2,Boy & Girl Walking,Graphic imaged used to fill empty spaces on pages in Promin,Promin,
3446,2,Mrs. Stephania Paush ,"Speaking at UWAC annual convention in Winnipeg. 
Photographer: Nestor Hreshevych.",Promin August 1963,cover
3449,2,"""Knahynia Olha"" ","Painting by by Vasyl Dadyniuk
1937",Promin July 1969,cover
3454,2,Chrystyna Melnyk ,Playing Cello ,Promin October 1980,cover
3466,2,"""Marika"" ",Illustration by Anatoli France,Promin February 1968,23
3469,2,Boy Waving,Graphic image for the Children's section of the magazine.,Promin May 1973,14
3476,2,Child Watering a Plant,Graphic image for the Children's section of the magazine.,Promin February 1965,25
3513,2,UWAC Edmonton Portraits,UWAC members in Edmonton from 1926-1946. 20th anniversary.,Unknown Publication,
3555,2,Ukrainian Church,Unidentified,Unknown Publication,
3570,2,Prairie Church,Architectural Drawing. Unknown Illustrator,Unknown Publication,
3578,2,Ukrainian Church,Unidentified,Unknown Publication,
3581,2,Outdoor Prayer Service,Unidentified,Unknown Publication,
3629,2,Icon of Jesus,Unknown Iconographer,Unknown Publication,
3647,2,Four Winged Icons,Unknown Iconographer,Unknown Publication,
3676,2,St. Andrews College ,"Summer Students. Winnipeg, MB",Unknown Publication,
3677,2,Photo Collage,"Summer school students at St. Andrew's College. Winnipeg, MB",Unknown Publication,
3693,2,"Рідна Школа в Ст. Кетеринс
Ukrainian School in St. Catherines, ON",,Unknown Publication,
3749,2,Portrait of a Man,Unidentified,Unknown Publication,
3750,2,Portrait of a Man,Unidentified,Unknown Publication,
3757,2,Portrait of a Man,Unidentified,Unknown Publication,
3761,2,Portrait of a Man,Unidentified,Unknown Publication,
3790,2,Male Bust,Unidentified,Unknown Publication,
3798,2,Portrait of a Man,Unidentified,Unknown Publication,
3800,2,Portrait of a Man,Unidentified,Unknown Publication,
3813,2,Portrait of a Man,Unidentified,Unknown Publication,
3826,2,Portrait of a Man,Unidentified,Unknown Publication,
3839,2,Portrait of a Man,Unidentified,Unknown Publication,
3841,2,Three Men,Unidentified,Unknown Publication,
3890,2,Portrait of a Man,"Identified as ""Zvaras""",Unknown Publication,
3932,2,Dobrodika Chomiak,"Wife of Very Rev. Oleksandr Chomiak, St. John's Cathedral, Edmonton, AB",Unknown Publication,
3973,2,Portrait of a Woman,Unidentified,Unknown Publication,
4002,2,Portrait of a Woman,Unidentified,Unknown Publication,
4024,2,Portrait of a Girl in Ukrainian Clothing,Unidentified,Unknown Publication,
4034,2,Graduation Photo,Unidentified,Unknown Publication,
4035,2,Side-by-side Portraits of Girls,Unidentified,Unknown Publication,
4037,2,Graduation Photo,Unidentified,Unknown Publication,
4058,2,Portrait of a Woman,Unidentified,Unknown Publication,
4061,2,Portrait of a Woman,Unidentified,Unknown Publication,
4073,2,Portrait of a Woman,Unidentified,Unknown Publication,
4077,2,Portrait of a Woman,Unidentified,Unknown Publication,
4107,2,Portrait of a Woman,Unidentified,Unknown Publication,
4116,2,Portrait of a Woman,Unidentified,Unknown Publication,
4120,2,"Ольга Рапашняк
Olha Rapashniak",,Unknown Publication,
4125,2,Portrait of a Woman,Unidentified,Unknown Publication,
4128,2,Portrait of a Woman,Unidentified,Unknown Publication,
4134,2,Portrait of a Woman,Unidentified,Unknown Publication,
4149,2,Portrait of a Woman,Unidentified,Unknown Publication,
4245,2,"Маріана Крипакевич
Marianna Krypakevych",,Unknown Publication,
4254,2,Portrait of a Woman,Unidentified,Unknown Publication,
4260,2,Helen Henderson,Unidentified,Unknown Publication,
4306,2,Anniversary Couple,Unidentified,Unknown Publication,
4311,2,Shevchenko Foundation Donors,Unidentified,Unknown Publication,
4318,2,Anniversary Couple,Unidentified,Unknown Publication,
4327,2,Anniversary Couple,Unidentified,Unknown Publication,
